dfo_began,dfo_ended,threshold_type,dfo_centroid_x,dfo_centroid_y,dfo_cause,gfd_area,cluster,event_index
7/11/2000,8/10/2000,otsu,105.063841,11.242567,Heavy rain,4322.47,0,2
8/30/2000,9/10/2000,otsu,132.057679,43.773883,"Tropical Storm, Surge",740.33,1,3
8/15/2001,11/19/2001,std,105.382431,11.768371,Heavy rain,26908.55,2,9
8/20/2001,9/11/2001,otsu,83.051328,26.755588,Heavy rain,4464.14,3,10
9/7/2001,9/24/2001,std,84.869961,26.532079,Heavy rain,4077.14,4,11
10/1/2001,12/1/2001,std,-61.214816,-32.897203,Heavy rain,16681.2,5,13
1/15/2002,4/2/2002,std,-50.481932,-11.878068,Heavy rain,3531.56,6,18
5/6/2002,5/28/2002,std,-57.810991,-26.67674,Heavy rain,2757.81,7,23
4/23/2002,5/9/2002,std,-55.950506,-32.486429,Heavy rain,3700.46,8,24
6/21/2002,8/28/2002,std,89.269578,25.841781,Heavy rain,27063.5,9,30
7/6/2002,7/19/2002,std,120.562734,15.340286,Heavy rain,1468.63,10,34
7/20/2002,7/26/2002,otsu,132.379911,43.882229,Heavy rain,306.4,1,39
9/3/2002,9/6/2002,std,73.220062,21.539107,Heavy rain,114.39,11,53
9/8/2002,9/12/2002,std,4.447589,44.034528,Heavy rain,146.01,12,54
9/6/2002,9/19/2002,std,-96.029696,29.65109,Heavy rain,806.01,13,55
9/20/2002,9/30/2002,std,105.175058,18.577824,Heavy rain,6721.21,14,56
9/21/2002,10/8/2002,std,19.773795,41.397529,Heavy rain,349.95,15,57
9/26/2002,9/29/2002,std,-90.011936,29.87028,"Tropical Storm, Surge",1822.29,16,59
10/23/2002,11/13/2002,std,-96.029696,29.65109,Heavy rain,2691.0,13,65
12/13/2002,12/14/2002,std,4.145883,43.730782,Heavy rain,725.22,12,71
1/30/2003,2/9/2003,std,107.641486,-7.046763,Heavy rain,656.64,17,88
2/16/2003,2/17/2003,otsu,107.603981,-6.973194,Heavy rain,478.05,17,91
1/27/2003,2/7/2003,std,22.223743,39.608875,Heavy rain,1157.06,18,98
1/11/2003,4/22/2003,std,-50.481932,-11.878068,Heavy rain,4622.59,6,99
1/17/2003,3/3/2003,std,26.714824,41.591029,Heavy rain,2621.4,19,100
2/4/2003,3/12/2003,std,28.31203,38.089335,Heavy rain,2158.44,20,101
3/2/2003,3/11/2003,std,124.222901,-17.970507,Heavy rain,1737.73,21,102
3/11/2003,3/15/2003,std,27.689975,-16.066257,Heavy rain,416.15,22,107
6/23/2003,7/28/2003,std,118.401191,28.83099,Heavy rain,14553.62,23,119
6/25/2003,6/26/2003,std,124.376833,7.043913,Heavy rain,457.28,24,120
7/1/2003,8/7/2003,std,115.717939,32.51656,Heavy rain,7778.61,25,121
7/2/2003,9/1/2003,std,95.503476,20.574716,Heavy rain,10302.48,26,123
7/19/2003,7/23/2003,std,121.26678,16.501894,"Tropical Storm, Surge",437.9,27,125
8/3/2003,11/2/2003,std,20.249655,10.996461,Heavy rain,6827.49,28,127
